,ChanIndx,CoarseChanNum,DriftRate,Freq,FreqEnd,FreqStart,FullNumHitsInRange,SNR,TopHitNum,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
77,656225,68,0.038266,1725.21731,1725.215681,1725.2189440000002,13175,19.199798,78,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
121,347247,102,-3.893561,1626.471209,1626.4695800000002,1626.472844,7605809,11.534886,122,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
122,406978,102,-3.797896,1626.304323,1626.302694,1626.305957,7605809,14.636426,123,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
123,463853,102,-3.453503,1626.145416,1626.143787,1626.14705,7605809,13.455246,124,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
124,466428,102,-3.989226,1626.138221,1626.136593,1626.139856,7605809,59.201325,125,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
126,471495,102,1.836766,1626.124064,1626.1224359999999,1626.125699,7605809,15.464534,127,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
127,472194,102,3.415237,1626.122111,1626.120483,1626.123746,7605809,15.983387,128,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
128,473988,102,1.875032,1626.117099,1626.11547,1626.118734,7605809,12.816002,129,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
129,475011,102,-3.6257,1626.114241,1626.112612,1626.115875,7605809,14.608156,130,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
130,476405,102,-0.975782,1626.110346,1626.108717,1626.111981,7605809,10.91293,131,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
131,477181,102,-2.946479,1626.108178,1626.106549,1626.109812,7605809,13.020878,132,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
134,482729,102,2.841247,1626.092677,1626.091048,1626.0943109999998,7605809,11.928446,135,spliced_blc0001020304050607_guppi_58873_10063_TIC159510109_0046.gpuspec.0000.h5,TIC159510109,58873.116469907407,16h30m08.344s,80d18m27.932s,18.253611,-2.793968,,on_table_1,,0,0.0
