,ChanIndx,CoarseChanNum,DriftRate,Freq,FreqEnd,FreqStart,FullNumHitsInRange,SNR,TopHitNum,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
14,580662,11,3.941394,1892.420618,1892.418989,1892.4222519999998,38096,11.675733,15,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
134,356728,102,-3.903128,1626.44472,1626.443091,1626.446354,17164607,13.383058,135,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
138,361743,102,-2.869947,1626.430708,1626.429079,1626.432342,17164607,21.239382,139,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
142,367285,102,-3.922261,1626.415224,1626.413595,1626.416858,17164607,23.865787,143,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
143,370381,102,-1.28191,1626.406574,1626.404945,1626.408208,17164607,13.411862,144,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
144,417328,102,3.75963,1626.275405,1626.273776,1626.27704,17164607,10.378709,145,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
145,418174,102,3.998793,1626.273042,1626.2714130000002,1626.274676,17164607,10.678797,146,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
146,419549,102,2.649918,1626.2692,1626.267571,1626.270834,17164607,11.100821,147,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
147,421484,102,1.291476,1626.263794,1626.262165,1626.265428,17164607,14.868426,148,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
148,422332,102,1.645436,1626.261424,1626.259795,1626.2630589999999,17164607,14.520248,149,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
149,424316,102,-3.204774,1626.255881,1626.254252,1626.2575160000001,17164607,11.30837,150,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
150,425755,102,-2.372489,1626.251861,1626.250232,1626.253495,17164607,12.658188,151,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
151,475425,102,-1.195811,1626.113084,1626.111455,1626.114719,17164607,26.11238,152,spliced_blc0001020304050607_guppi_58873_31372_TIC232967666_0112.gpuspec.0000.h5,TIC232967666,58873.363101851850,13h12m36.557s,71d37m05.29s,18.253611,-2.793968,,on_table_1,,0,0.0
