,ChanIndx,CoarseChanNum,DriftRate,Freq,FreqEnd,FreqStart,FullNumHitsInRange,SNR,TopHitNum,FileID,Source,MJD,RA,DEC,DELTAT,DELTAF,Hit_ID,status,in_n_ons,RFI_in_range,delta_t
14,593943,11,-3.482202,1892.383511,1892.3818820000001,1892.385146,15807,11.397193,15,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
132,470201,102,-0.507024,1626.12768,1626.126051,1626.129314,11106878,28.392609,133,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
133,471310,102,3.6257,1626.124581,1626.122952,1626.126216,11106878,24.999922,134,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
134,472108,102,2.927346,1626.122352,1626.120723,1626.1239859999998,11106878,24.728998,135,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
135,473076,102,3.616133,1626.119647,1626.118018,1626.121282,11106878,24.375093,136,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
136,474390,102,2.72645,1626.115976,1626.1143470000002,1626.11761,11106878,21.042387,137,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
137,475720,102,3.597,1626.11226,1626.110631,1626.1138939999998,11106878,18.826273,138,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
141,480674,102,-0.181763,1626.098419,1626.09679,1626.100053,11106878,12.876421,142,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
142,482211,102,-3.883995,1626.094124,1626.0924949999999,1626.095759,11106878,13.781932,143,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
146,513918,102,2.822114,1626.005536,1626.003907,1626.0071699999999,11106878,21.734211,147,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
147,516622,102,3.214341,1625.997981,1625.996352,1625.999616,11106878,14.660619,148,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
149,528310,102,-3.568301,1625.965325,1625.963696,1625.96696,11106878,13.777134,150,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
150,531285,102,-3.883995,1625.957013,1625.955384,1625.958648,11106878,27.534052,151,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
151,543622,102,1.023614,1625.922544,1625.9209150000002,1625.924178,11106878,10.569518,152,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
152,558159,102,-3.750064,1625.881928,1625.880299,1625.883562,11106878,12.09628,153,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
153,559317,102,2.066362,1625.878693,1625.877064,1625.8803269999999,11106878,11.545551,154,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
154,562339,102,-1.052314,1625.870249,1625.86862,1625.871884,11106878,18.228616,155,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
155,574322,102,-0.057399,1625.836769,1625.8351400000001,1625.8384039999999,11106878,16.024822,156,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
156,576217,102,-0.70792,1625.831475,1625.829846,1625.833109,11106878,26.402646,157,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
157,588385,102,-1.549771,1625.797478,1625.795849,1625.799112,11106878,18.15345,158,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
158,589733,102,3.606567,1625.793711,1625.792082,1625.795346,11106878,16.615048,159,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
159,592140,102,-0.660088,1625.786986,1625.785357,1625.7886210000001,11106878,17.847696,160,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
160,604226,102,-2.095061,1625.753218,1625.751589,1625.754853,11106878,11.819099,161,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
161,606578,102,-0.373093,1625.746647,1625.745018,1625.7482810000001,11106878,15.304598,162,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
162,617783,102,-3.587434,1625.71534,1625.713712,1625.716975,11106878,10.802589,163,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
163,620757,102,3.864862,1625.707031,1625.705402,1625.708666,11106878,23.313297,164,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
164,621764,102,-3.95096,1625.704218,1625.702589,1625.705852,11106878,14.327535,165,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
165,622396,102,2.975178,1625.702452,1625.7008230000001,1625.704086,11106878,13.943307,166,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
166,742808,102,-2.257692,1625.366025,1625.3643960000002,1625.367659,11106878,10.167285,167,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
167,761711,102,-2.477721,1625.31321,1625.3115810000002,1625.3148449999999,11106878,10.045276,168,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
168,778044,102,1.205378,1625.267576,1625.265948,1625.269211,11106878,16.044925,169,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
169,817405,102,-2.850814,1625.157603,1625.155974,1625.1592380000002,11106878,13.346216,170,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
170,838010,102,2.276825,1625.100033,1625.0984039999998,1625.101668,11106878,20.503591,171,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
171,867344,102,-0.832285,1625.018075,1625.016446,1625.01971,11106878,13.814982,172,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
172,66495,103,2.688184,1624.325934,1624.324305,1624.327568,1226014,20.62255,173,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
173,95802,103,-1.7985,1624.244051,1624.242422,1624.245686,1226014,17.390456,174,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
174,110694,103,-1.358442,1624.202443,1624.200814,1624.204078,1226014,31.303408,175,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
175,124463,103,-2.640351,1624.163973,1624.1623439999998,1624.165608,1226014,14.372023,176,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
176,139784,103,-2.353356,1624.121167,1624.1195380000001,1624.122801,1226014,23.609195,177,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
177,170341,103,-3.683099,1624.035791,1624.034163,1624.0374259999999,1226014,12.96248,178,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
178,171014,103,3.176075,1624.033911,1624.0322820000001,1624.035546,1226014,12.98384,179,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
179,214672,103,1.195811,1623.911932,1623.9103029999999,1623.913567,1226014,15.067345,180,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
180,229746,103,-0.019133,1623.869816,1623.8681869999998,1623.87145,1226014,16.604705,181,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
181,243912,103,-1.913298,1623.830236,1623.828608,1623.831871,1226014,11.797328,182,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
183,272515,103,-1.348875,1623.750321,1623.748692,1623.7519550000002,1226014,12.775233,184,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
184,275068,103,1.501939,1623.743188,1623.741559,1623.744822,1226014,11.173599,185,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
185,287704,103,-0.133931,1623.707883,1623.706254,1623.709518,1226014,12.454551,186,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
186,302102,103,1.138412,1623.667656,1623.666027,1623.66929,1226014,19.418191,187,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
187,346464,103,-3.941394,1623.54371,1623.542081,1623.545344,1226014,14.543251,188,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
188,392238,103,0.239162,1623.415818,1623.41419,1623.417453,1226014,15.24812,189,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
189,454791,103,0.277428,1623.241047,1623.239418,1623.242682,1226014,15.517878,190,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
190,469505,103,-3.912694,1623.199937,1623.198308,1623.201571,1226014,19.237138,191,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
191,514285,103,-3.654399,1623.074823,1623.073194,1623.076458,1226014,11.981292,192,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
194,667518,103,2.219426,1622.646695,1622.645066,1622.6483289999999,1226014,17.098398,195,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
195,669001,103,0.507024,1622.642552,1622.6409230000002,1622.644186,1226014,13.507406,196,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
196,682454,103,0.985348,1622.604964,1622.603335,1622.606599,1226014,20.149645,197,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
197,683916,103,-0.468758,1622.60088,1622.5992509999999,1622.6025140000002,1226014,12.593306,198,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
198,709919,103,-1.25321,1622.528228,1622.526599,1622.5298619999999,1226014,31.07584,199,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
199,712186,103,-3.539601,1622.521894,1622.520265,1622.5235289999998,1226014,13.415878,200,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
200,752796,103,-1.951564,1622.408431,1622.406802,1622.410065,1226014,26.860949,201,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
201,815247,103,-2.802981,1622.233945,1622.232316,1622.235579,1226014,12.998647,202,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
202,828387,103,-0.975782,1622.197232,1622.195603,1622.198867,1226014,10.641277,203,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
203,829310,103,0.803585,1622.194653,1622.193024,1622.196288,1226014,10.767034,204,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
204,845036,103,-3.24304,1622.150715,1622.149087,1622.15235,1226014,11.575795,205,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
205,929833,103,2.267258,1621.913795,1621.912166,1621.91543,1226014,18.983092,206,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
207,108602,104,-2.324657,1621.278601,1621.2769720000001,1621.280235,859846,17.28138,208,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
208,111469,104,0.535723,1621.27059,1621.2689619999999,1621.272225,859846,23.081709,209,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
209,122105,104,0.860984,1621.240874,1621.239245,1621.242508,859846,11.208802,210,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
210,124501,104,-1.578471,1621.234179,1621.232551,1621.2358140000001,859846,13.610612,211,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
211,132539,104,-3.960527,1621.211722,1621.210093,1621.213356,859846,11.676891,212,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
212,133154,104,3.176075,1621.210003,1621.208374,1621.211638,859846,11.570417,213,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
213,136830,104,-3.855295,1621.199733,1621.1981039999998,1621.201367,859846,10.020321,214,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
214,137981,104,-3.998793,1621.196517,1621.194888,1621.198151,859846,12.09035,215,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
215,153200,104,3.482202,1621.153995,1621.152367,1621.15563,859846,31.544707,216,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
216,167254,104,-3.75963,1621.114729,1621.1131,1621.116363,859846,26.510207,217,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
217,169608,104,-3.05171,1621.108152,1621.1065230000002,1621.109786,859846,12.651866,218,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
218,171293,104,0.573989,1621.103444,1621.101815,1621.105079,859846,11.624245,219,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
219,182845,104,2.114194,1621.071168,1621.069539,1621.072803,859846,23.798522,220,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
220,183799,104,-3.95096,1621.068503,1621.066874,1621.070137,859846,29.841853,221,spliced_blc0001020304050607_guppi_58873_23574_TIC349827430_0088.gpuspec.0000.h5,TIC349827430,58873.272847222222,10h47m38.151s,71d39m20.586s,18.253611,-2.793968,,on_table_1,,0,0.0
