,Source,DriftRateMax,Nevent,FreqMid,DriftBW,DriftRates,Freqs,FileID,SNR
3721,HIP59000,0.22662,2,1604.64639,0.06814698439991397,[-0.22662 -0.22662],[1604.67689 1604.61589],spliced_blc02030405_2bit_guppi_57454_28924_HIP59000_0009.gpuspec.0000.h5,[56.716024 47.675636]
3722,HIP115738,0.660154,2,1574.9300775000006,0.0681688114800386,[-0.660154 -0.502505],[1574.959677 1574.900478],spliced_blc0001020304050607_guppi_57544_45061_HIP115738_0015.gpuspec.0000.h5,[28.19674  18.711476]
3723,HIP12114,0.009853,2,1681.2843894999999,0.06832142085982139,[0.009853 0.009853],[1681.315424 1681.253355],spliced_blc02030405_2bit_guppi_57472_67407_HIP12114_0009.gpuspec.0000.h5,[10.903137 13.639839]
3724,HIP15638,3.97966,2,1420.4388005,0.06834252920005299,[3.97966  2.822114],[1420.461508 1420.416093],spliced_blc0001020304050607_guppi_57750_08693_HIP15638_0003.gpuspec.0000.h5,[12.630304 17.714101]
3725,HIP82860,0.286995,2,1604.9457065,0.06842701689978613,[-0.286995 -0.286995],[1604.976207 1604.915206],spliced_blc0001020304050607_guppi_57664_79761_HIP82860_0027.gpuspec.0000.h5,[ 84.024909 107.475879]
3726,HIP66252,0.009566,2,1529.79879,0.068558794919844,[0.009566 0.009566],[1529.829933 1529.767647],spliced_blc0001020304050607_guppi_57955_03821_HIP66252_0030.gpuspec.0000.h5,[19.213896 15.56456 ]
3727,HIP36704,0.364562,2,1604.4575849999999,0.06878427643991396,[-0.364562 -0.364562],[1604.488085 1604.427085],spliced_blc0001020304050607_guppi_57543_79193_HIP36704_0003.gpuspec.0000.h5,[46.327202 65.370131]
3728,HIP44127,0.443387,2,1603.5982009999998,0.06914844793991398,[-0.443387 -0.443387],[1603.628701 1603.567701],spliced_blc0001020304050607_guppi_57549_75155_HIP44127_0041.gpuspec.0000.h5,[19.314346 16.194955]
3729,HIP46417,0.172197,4,1561.0733095,0.06954665014012228,[-0.16263  -0.172197 -0.16263  -0.16263 ],[1561.10456  1561.095561 1561.09006  1561.042059],spliced_blc0001020304050607_guppi_57605_67064_Hip46417_0016.gpuspec.0000.h5,[27.24705  25.931256 28.188778 28.720424]
3730,HIP27207,2.592519,2,1420.5619820000006,0.06987923777987685,[-2.592519  2.449021],[1420.588301 1420.535663],spliced_blc0001020304050607_guppi_57641_39567_HIP27207_0021.gpuspec.0000.h5,[20.091183 30.220477]
3731,HIP52600,0.660088,8,1602.4639575,0.07015950656001403,"[-0.660088 -0.660088 -0.621822 -0.621822 -0.621822 -0.621822 -0.660088
 -0.621822]","[1602.494462 1602.484365 1602.481454 1602.466453 1602.457453 1602.446454
 1602.440366 1602.433453]",spliced_blc0001020304050607_guppi_57741_38132_HIP52600_0021.gpuspec.0000.h5,"[12.33969  10.42336  11.853575 10.45099  10.546226 10.474692 10.484741
 10.573934]"
3732,HIP81300,0.009853,2,1574.067,0.07044552085983594,[0.009853 0.009853],[1574.099 1574.035],spliced_blc02030405_2bit_guppi_57478_41500_HIP81300_0027.gpuspec.0000.h5,[28.913851 28.805991]
3733,GJ380,0.009566,2,1535.3319695,0.07045849491967478,[-0.009566 -0.009566],[1535.363976 1535.299963],spliced_blc0001020304050607_guppi_57636_58929_GJ380_0003.gpuspec.0000.h5,[44.141411 54.399214]
3734,HIP12530,0.699566,4,1574.9020150000001,0.07110859491995414,[-0.610888 -0.660154 -0.610888 -0.699566],[1574.932868 1574.923153 1574.908868 1574.871162],spliced_blc0001020304050607_guppi_57544_55945_HIP12530_0045.gpuspec.0000.h5,[11.254831 29.943543 23.636849 16.279565]
3735,HIP35136,0.019133,7,1533.2833455,0.0711230944601093,[-0.009566 -0.009566 -0.009566 -0.009566 -0.019133 -0.009566 -0.009566],"[1533.315634 1533.294414 1533.289452 1533.284529 1533.271554 1533.255676
 1533.251057]",spliced_blc0001020304050607_guppi_57571_68756_HIP35136_0015.gpuspec.0000.h5,[11.908253 10.642745 11.946912 12.231183 10.728703 13.020623 10.563399]
3736,HIP91237,1.4188379999999998,2,1420.458502,0.07128563155989345,[1.418838 1.23163 ],[1420.487925 1420.429079],spliced_blc0001020304050607_guppi_57552_19203_HIP91237_0003.gpuspec.0000.h5,[14.653287 18.02636 ]
3737,HIP17496,3.252607,2,1626.1026545,0.07142294434005228,[3.252607 1.951564],[1626.128289 1626.07702 ],spliced_blc0001020304050607_guppi_57585_54229_Hip17496_0051.gpuspec.0000.h5,[11.177814 13.273141]
3738,HIP61100,0.363527,3,1560.850136,0.07207729474009159,[-0.35396  -0.344394 -0.363527],[1560.882135 1560.834135 1560.818137],spliced_blc0001020304050607_guppi_57605_79759_Hip61100_0021.gpuspec.0000.h5,[28.894135 27.933723 26.323864]
3739,HIP1473,0.601035,2,1598.4090965,0.07218568169996216,[-0.601035 -0.601035],[1598.440646 1598.377547],spliced_blc0001020304050607_guppi_57550_42787_HIP1473_0009.gpuspec.0000.h5,[30.25735  18.232666]
3740,HIP43534,0.660088,3,1575.949671,0.07234520655987306,[-0.650521 -0.650521 -0.660088],[1575.981169 1575.947169 1575.918173],spliced_blc0001020304050607_guppi_57598_75115_Hip43534_0033.gpuspec.0000.h5,[17.063546 33.83065  38.914008]
3741,HIP41307,0.699566,3,1600.4444334999994,0.07253089491998978,[-0.699566 -0.699566 -0.699566],[1600.475933 1600.473934 1600.412934],spliced_blc02030405_2bit_guppi_57430_10133_HIP41307_0004.gpuspec.0000.h5,[15.238748 14.746481 19.378336]
3742,HIP36152,0.019706,5,1529.5716309999998,0.07280544172024543,[-0.019706 -0.009853 -0.009853 -0.009853 -0.009853],[1529.604683 1529.596437 1529.556593 1529.543311 1529.538579],spliced_blc0001020304050607_guppi_57533_77774_HIP36152_0015.gpuspec.0000.h5,[28.239802 32.891218 65.005515 37.233041 46.688595]
3743,HIP115142,0.482799,3,1544.1151065,0.0729242313799698,[-0.344856 -0.482799 -0.403975],[1544.14724  1544.088483 1544.082973],spliced_blc0001020304050607_guppi_57544_40783_HIP115142_0003.gpuspec.0000.h5,[15.877642 64.095695 44.125006]
